,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
64,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-31,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0216293886810066,22,6
65,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-10,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.045061256213924,32,6
66,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-21,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0961427345865224,43,5
67,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-14,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9794520449988514,5,1
68,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-24,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0122566952991283,15,1
69,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-01,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.031002171448366,23,6
70,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-11,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.073179515130521,33,6
71,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-23,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0778659065142007,45,5
72,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-15,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9794520449988514,6,1
73,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-25,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0028839125317688,16,6
74,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-02,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0403749542157252,24,6
75,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-12,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.073179515130521,34,6
76,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-09-24,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0778659065142007,46,5
77,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-16,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9513337860822544,7,1
78,278bf922-073e-4ef4-90b5-ccf4e25e08fe,2018-08-26,IBL_26,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0075703039154484,17,6
